format,image,mana_cost,name,percentage_deck,played_number,type
pauper,https://cdn1.mtggoldfish.com/images/gf/Mountain%2B%253C253%253E%2B%255BTHB%255D.jpg,0,Mountain,38%,6.1,lands
pauper,https://cdn1.mtggoldfish.com/images/gf/Plains%2B%253C250%253E%2B%255BTHB%255D.jpg,0,Plains,36%,3.7,lands
pauper,https://cdn1.mtggoldfish.com/images/gf/Ash%2BBarrens%2B%255B2XM%255D.jpg,0,Ash Barrens,29%,2.2,lands
pauper,https://cdn1.mtggoldfish.com/images/gf/Forest%2B%253C254%253E%2B%255BTHB%255D.jpg,0,Forest,25%,10.7,lands
pauper,https://cdn1.mtggoldfish.com/images/gf/Swamp%2B%253C252%253E%2B%255BTHB%255D.jpg,0,Swamp,23%,6.2,lands
pauper,https://cdn1.mtggoldfish.com/images/gf/Great%2BFurnace%2B%255BC21%255D.jpg,0,Great Furnace,22%,2.8,lands
pauper,https://cdn1.mtggoldfish.com/images/gf/Island%2B%253C251%253E%2B%255BTHB%255D.jpg,0,Island,18%,9.0,lands
pauper,https://cdn1.mtggoldfish.com/images/gf/Rustvale%2BBridge%2B%255BMH2%255D.jpg,0,Rustvale Bridge,16%,3.9,lands
pauper,https://cdn1.mtggoldfish.com/images/gf/Boros%2BGarrison%2B%253Cprecon%253E%2B%255BCMR%255D.jpg,0,Boros Garrison,16%,3.2,lands
pauper,https://cdn1.mtggoldfish.com/images/gf/Snow-Covered%2BIsland%2B%253C279%253E%2B%255BKHM%255D.jpg,0,Snow-Covered Island,14%,11.3,lands
pauper,https://cdn1.mtggoldfish.com/images/gf/Ancient%2BDen%2B%255BC21%255D.jpg,0,Ancient Den,13%,3.0,lands
pauper,https://cdn1.mtggoldfish.com/images/gf/Forgotten%2BCave%2B%253Cprecon%253E%2B%255BCMR%255D.jpg,0,Forgotten Cave,12%,1.1,lands
pauper,https://cdn1.mtggoldfish.com/images/gf/Drossforge%2BBridge%2B%255BMH2%255D.jpg,0,Drossforge Bridge,12%,3.2,lands
pauper,https://cdn1.mtggoldfish.com/images/gf/Wind-Scarred%2BCrag%2B%255BIKO%255D.jpg,0,Wind-Scarred Crag,12%,3.1,lands
pauper,https://cdn1.mtggoldfish.com/images/gf/Bojuka%2BBog%2B%255BC21%255D.jpg,0,Bojuka Bog,10%,1.3,lands
pauper,https://cdn1.mtggoldfish.com/images/gf/Vault%2Bof%2BWhispers%2B%255BMRD%255D.jpg,0,Vault of Whispers,9%,3.0,lands
pauper,https://cdn1.mtggoldfish.com/images/gf/Snow-Covered%2BMountain%2B%253C283%253E%2B%255BKHM%255D.jpg,0,Snow-Covered Mountain,9%,2.0,lands
pauper,https://cdn1.mtggoldfish.com/images/gf/Cave%2Bof%2BTemptation%2B%255BMH1%255D.jpg,0,Cave of Temptation,8%,1.4,lands
pauper,https://cdn1.mtggoldfish.com/images/gf/Silverbluff%2BBridge%2B%255BMH2%255D.jpg,0,Silverbluff Bridge,8%,3.3,lands
pauper,https://cdn1.mtggoldfish.com/images/gf/Seat%2Bof%2Bthe%2BSynod%2B%255BMRD%255D.jpg,0,Seat of the Synod,8%,2.5,lands
pauper,https://cdn1.mtggoldfish.com/images/gf/Evolving%2BWilds%2B%255BMID%255D.jpg,0,Evolving Wilds,8%,2.3,lands
pauper,https://cdn1.mtggoldfish.com/images/gf/Ice%2BTunnel%2B%255BKHM%255D.jpg,0,Ice Tunnel,7%,3.4,lands
